,Modelo,ScoreTreino,BestParams,RawScores,roc_auc,balanced_accuracy,average_precision,recall,accuracy,f1_macro,f1_weighted
0,RandomForestClassifier,0.9807680483120245,"{'max_depth': 9, 'max_samples': 0.8, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 42}","{'roc_auc': array([0.96308685, 0.97316157, 0.96855073, 0.9654217 , 0.97058157,
       0.96560967, 0.96672477, 0.9659273 , 0.96212578, 0.96901386]), 'balanced_accuracy': array([0.90741395, 0.92448683, 0.91700168, 0.91520748, 0.91814653,
       0.91468266, 0.9205033 , 0.91693449, 0.91288824, 0.91925122]), 'average_precision': array([0.95838591, 0.96989909, 0.965278  , 0.96223034, 0.96828914,
       0.96253777, 0.96432038, 0.95926043, 0.95923982, 0.96339376]), 'recall': array([0.89837009, 0.93000959, 0.91754554, 0.915628  , 0.90307102,
       0.90115163, 0.91362764, 0.91650672, 0.89923225, 0.91362764]), 'accuracy': array([0.90803571, 0.92410714, 0.91696429, 0.91517857, 0.91919643,
       0.915625  , 0.92098214, 0.91696429, 0.91383929, 0.91964286]), 'f1_macro': array([0.9075641 , 0.92385066, 0.91663866, 0.91484594, 0.91868874,
       0.9151187 , 0.920582  , 0.9166197 , 0.91332227, 0.91925122]), 'f1_weighted': array([0.90801803, 0.92415449, 0.91699685, 0.91521183, 0.91913619,
       0.91557525, 0.92097459, 0.916993  , 0.91378848, 0.91964286])}",0.9670203791161539,0.9166516381236332,0.9632834647387882,0.9108770102483792,0.9170535714285716,0.916648197976319,0.9170491579113375
1,LogisticRegression,0.9532390199303699,"{'C': 1, 'penalty': 'l2', 'random_state': 42, 'solver': 'liblinear'}","{'roc_auc': array([0.94590343, 0.96065347, 0.95654685, 0.95369856, 0.95621381,
       0.9510124 , 0.95118223, 0.94989009, 0.94813493, 0.95351818]), 'balanced_accuracy': array([0.87134223, 0.89410607, 0.88632655, 0.89017566, 0.88347502,
       0.87652726, 0.880491  , 0.89004547, 0.87304336, 0.88080342]), 'average_precision': array([0.94544275, 0.95962392, 0.9546991 , 0.95440749, 0.95693469,
       0.95171162, 0.95191862, 0.94823627, 0.94800102, 0.9491623 ]), 'recall': array([0.79865772, 0.84084372, 0.83029722, 0.84467881, 0.81285988,
       0.80230326, 0.81190019, 0.83685221, 0.79366603, 0.81669866]), 'accuracy': array([0.87633929, 0.89776786, 0.89017857, 0.89330357, 0.88839286,
       0.88169643, 0.88526786, 0.89375   , 0.87857143, 0.88526786]), 'f1_macro': array([0.87412644, 0.89640418, 0.8886553 , 0.89207494, 0.88640937,
       0.87949144, 0.88329831, 0.89232153, 0.87613753, 0.88343347]), 'f1_weighted': array([0.87527384, 0.89722132, 0.88955066, 0.89286661, 0.88745472,
       0.88062668, 0.88435415, 0.89318525, 0.87734673, 0.88445185])}",0.9526753959447408,0.8826336038046737,0.9520137791750791,0.818875769916618,0.8870535714285713,0.8852352494862892,0.8862331813424676
2,XGBClassifier,0.9741493531639899,"{'learning_rate': 0.01, 'max_depth': 7, 'min_child_weight': 1, 'n_estimators': 100, 'random_state': 42, 'reg_lambda': 2, 'subsample': 0.45}","{'roc_auc': array([0.96220737, 0.97276549, 0.96807655, 0.96417458, 0.96921292,
       0.9642194 , 0.96521554, 0.96596415, 0.96039865, 0.96820837]), 'balanced_accuracy': array([0.90681121, 0.92711645, 0.9178371 , 0.91491312, 0.91875134,
       0.91163616, 0.92188036, 0.91584983, 0.91247088, 0.91979355]), 'average_precision': array([0.95678058, 0.96810368, 0.96464719, 0.96055893, 0.96554438,
       0.96038035, 0.96214212, 0.95918881, 0.95722472, 0.96216491]), 'recall': array([0.89549377, 0.93192713, 0.91754554, 0.91754554, 0.9059501 ,
       0.89923225, 0.91554702, 0.91266795, 0.89923225, 0.91554702]), 'accuracy': array([0.90758929, 0.92678571, 0.91785714, 0.91473214, 0.91964286,
       0.9125    , 0.92232143, 0.91607143, 0.91339286, 0.92008929]), 'f1_macro': array([0.90708514, 0.92653059, 0.91752571, 0.9144213 , 0.91916626,
       0.9119931 , 0.92193302, 0.91569338, 0.91287919, 0.91971472]), 'f1_weighted': array([0.90755568, 0.92682824, 0.91788515, 0.91477589, 0.91959852,
       0.91245826, 0.92231651, 0.91608655, 0.91334507, 0.92009663])}",0.9660443013052626,0.9167059995168323,0.9616735676198843,0.9110688568152918,0.9170982142857144,0.916694241283856,0.9170946498455652
3,KNeighborsClassifier,0.9786724054081557,{'n_neighbors': 11},"{'roc_auc': array([0.9490721 , 0.96584142, 0.95639546, 0.95407022, 0.96255195,
       0.96018476, 0.95761049, 0.95599912, 0.95305435, 0.9645915 ]), 'balanced_accuracy': array([0.90147629, 0.92399343, 0.91327592, 0.90928384, 0.91453767,
       0.90869459, 0.91455769, 0.91111385, 0.90089208, 0.91485009]), 'average_precision': array([0.92698904, 0.95102204, 0.93764243, 0.93254392, 0.94608676,
       0.94388162, 0.94050748, 0.93497029, 0.9324902 , 0.9490297 ]), 'recall': array([0.88398849, 0.92233941, 0.9050815 , 0.90795781, 0.8925144 ,
       0.8925144 , 0.89923225, 0.90403071, 0.87523992, 0.89731286]), 'accuracy': array([0.90267857, 0.92410714, 0.91383929, 0.909375  , 0.91607143,
       0.90982143, 0.915625  , 0.91160714, 0.90267857, 0.91607143]), 'f1_macro': array([0.90206012, 0.92378336, 0.91340297, 0.90900415, 0.91545025,
       0.90924837, 0.91509487, 0.91116516, 0.90191218, 0.91551369]), 'f1_weighted': array([0.90259519, 0.92412488, 0.91382557, 0.90940353, 0.91595496,
       0.9097506 , 0.9155621 , 0.91160155, 0.902516  , 0.91599175])}",0.9579371382104694,0.9112675440699473,0.9395163479461471,0.8980211739721717,0.9121874999999999,0.9116635117065242,0.9121326126181953
4,BaggingClassifier,0.9999903074247753,"{'max_samples': 0.8, 'n_estimators': 100, 'random_state': 42}","{'roc_auc': array([0.96333916, 0.9723674 , 0.96793398, 0.96529995, 0.97001721,
       0.96610554, 0.96684533, 0.96751343, 0.96132189, 0.97115915]), 'balanced_accuracy': array([0.9066402 , 0.92154884, 0.91826883, 0.91294792, 0.91875134,
       0.91672701, 0.92672128, 0.91520256, 0.91205352, 0.92123309]), 'average_precision': array([0.95203952, 0.96636887, 0.96087284, 0.95782617, 0.96362761,
       0.95893126, 0.95938562, 0.9581672 , 0.95467676, 0.96434949]), 'recall': array([0.89932886, 0.92329818, 0.92425695, 0.91946309, 0.9059501 ,
       0.90690979, 0.9193858 , 0.91554702, 0.89923225, 0.9184261 ]), 'accuracy': array([0.90714286, 0.92142857, 0.91785714, 0.9125    , 0.91964286,
       0.91741071, 0.92723214, 0.91517857, 0.91294643, 0.92142857]), 'f1_macro': array([0.90669029, 0.92112922, 0.91758804, 0.91222227, 0.91916626,
       0.91696015, 0.92685427, 0.91483633, 0.91243613, 0.92107465]), 'f1_weighted': array([0.90713706, 0.92146328, 0.9179118 , 0.91256172, 0.91959852,
       0.91738614, 0.92722041, 0.91521231, 0.91290167, 0.92144273])}",0.9671903039153836,0.9170094585107698,0.9596245342924605,0.9131798131405237,0.9172767857142856,0.9168957615518432,0.9172835631938427
5,ExtraTreesClassifier,0.9634671579985244,"{'max_depth': 7, 'max_samples': 0.8, 'n_estimators': 100, 'random_state': 42}","{'roc_auc': array([0.95533697, 0.96922796, 0.96250934, 0.95886328, 0.96537415,
       0.95855216, 0.9589511 , 0.95841478, 0.95520926, 0.96473329]), 'balanced_accuracy': array([0.89810656, 0.92031533, 0.90955016, 0.90967351, 0.90619282,
       0.90020476, 0.90823718, 0.9117411 , 0.89997485, 0.91555984]), 'average_precision': array([0.95305055, 0.96599902, 0.95979118, 0.95754586, 0.9633736 ,
       0.9573664 , 0.95820538, 0.95457716, 0.95389119, 0.95845118]), 'recall': array([0.87056568, 0.90412272, 0.89261745, 0.894535  , 0.87332054,
       0.8646833 , 0.87907869, 0.89443378, 0.86756238, 0.89539347]), 'accuracy': array([0.9       , 0.92142857, 0.91071429, 0.91071429, 0.90848214,
       0.90267857, 0.91026786, 0.91294643, 0.90223214, 0.91696429]), 'f1_macro': array([0.8991964 , 0.92092927, 0.9101469 , 0.91017227, 0.90763119,
       0.90173066, 0.90949497, 0.9123743 , 0.90134006, 0.91637523]), 'f1_weighted': array([0.89981517, 0.92136125, 0.91063778, 0.91065198, 0.90824863,
       0.90240282, 0.91007744, 0.91286741, 0.90199342, 0.91686402])}",0.9607172286247734,0.9079556109940873,0.9582251517029821,0.8836313012625989,0.9096428571428572,0.9089391257311352,0.9094919911573447
6,SGDClassifier,0.9535926787701778,{'random_state': 42},"{'roc_auc': array([0.94667477, 0.96105076, 0.95710353, 0.95365932, 0.95718151,
       0.95099318, 0.95248078, 0.95077929, 0.94894081, 0.95475585]), 'balanced_accuracy': array([0.88887487, 0.89871491, 0.9015716 , 0.89016165, 0.88996296,
       0.89042037, 0.89803543, 0.89766053, 0.87164628, 0.87579747]), 'average_precision': array([0.94597884, 0.95999249, 0.95517387, 0.9545835 , 0.95802335,
       0.95183852, 0.95281607, 0.94907784, 0.9486821 , 0.95015947]), 'recall': array([0.85043145, 0.84755513, 0.87248322, 0.8379674 , 0.82917466,
       0.84261036, 0.85700576, 0.8512476 , 0.78502879, 0.7975048 ]), 'accuracy': array([0.89151786, 0.90223214, 0.90357143, 0.89375   , 0.89419643,
       0.89375   , 0.90089286, 0.90089286, 0.87767857, 0.88125   ]), 'f1_macro': array([0.89043194, 0.90096881, 0.90276496, 0.89236605, 0.89257736,
       0.8924529 , 0.8998182 , 0.89970279, 0.87496486, 0.87890061]), 'f1_weighted': array([0.89118186, 0.9017378 , 0.90337376, 0.89320514, 0.89349581,
       0.89327545, 0.90054082, 0.90046365, 0.8762477 , 0.88007531])}",0.953361980003611,0.8902846078181064,0.9526326046061339,0.837100917735088,0.8939732142857142,0.892494848014549,0.8933597295346052
7,SVC,0.944518097335628,"{'C': 0.5, 'gamma': 'auto'}","{'roc_auc': array([0.93682432, 0.95525006, 0.94880858, 0.94420936, 0.94682837,
       0.94296476, 0.94255141, 0.940318  , 0.9390563 , 0.94621714]), 'balanced_accuracy': array([0.8714039 , 0.88954489, 0.87871805, 0.88802543, 0.8779668 ,
       0.87156137, 0.8764848 , 0.88668654, 0.86843235, 0.87984373]), 'average_precision': array([0.94053289, 0.95539356, 0.94981326, 0.94847992, 0.95144322,
       0.94603236, 0.94660401, 0.94292195, 0.94186572, 0.94546331]), 'recall': array([0.79961649, 0.82837967, 0.81591563, 0.84372004, 0.80518234,
       0.79654511, 0.80806142, 0.83013436, 0.78694818, 0.81477927]), 'accuracy': array([0.87633929, 0.89375   , 0.88303571, 0.89107143, 0.88303571,
       0.87678571, 0.88125   , 0.890625  , 0.87410714, 0.884375  ]), 'f1_macro': array([0.87415667, 0.89213608, 0.88123262, 0.88984874, 0.88089942,
       0.87447373, 0.8792257 , 0.88907249, 0.87151773, 0.8824995 ]), 'f1_weighted': array([0.87529607, 0.89304317, 0.88223869, 0.89064659, 0.88201029,
       0.87566014, 0.88031463, 0.88998642, 0.87278801, 0.88353335])}",0.9443028296272447,0.878866785949844,0.9468550204686952,0.8129282503041022,0.8834375,0.8815062670143051,0.8825517372204195
8,NuSVC,0.9425936485403654,"{'gamma': 'auto', 'random_state': 42}","{'roc_auc': array([0.93660005, 0.9538892 , 0.94673645, 0.94223494, 0.94416718,
       0.94190093, 0.94006325, 0.93828005, 0.93681888, 0.94557628]), 'balanced_accuracy': array([0.82382691, 0.83807113, 0.83072334, 0.84570767, 0.83920658,
       0.83033943, 0.83376084, 0.8307568 , 0.82134732, 0.84112596]), 'average_precision': array([0.94042036, 0.95446927, 0.9477476 , 0.94660462, 0.9485266 ,
       0.94545887, 0.94433305, 0.94234988, 0.94050329, 0.94307929]), 'recall': array([0.67689358, 0.6970278 , 0.69319271, 0.72483221, 0.70345489,
       0.6890595 , 0.69673704, 0.6890595 , 0.67274472, 0.70729367]), 'accuracy': array([0.83392857, 0.84776786, 0.84017857, 0.85401786, 0.84866071,
       0.84017857, 0.84330357, 0.840625  , 0.83169643, 0.85044643]), 'f1_macro': array([0.82674881, 0.841513  , 0.83388517, 0.84918462, 0.8427297 ,
       0.83358112, 0.83710377, 0.83401522, 0.82425263, 0.84469681]), 'f1_weighted': array([0.82917356, 0.8436776 , 0.83610807, 0.85104077, 0.84485668,
       0.83588875, 0.83931697, 0.83632199, 0.82677157, 0.84677788])}",0.9426267214071901,0.8334865978644965,0.9453492823130711,0.6950295636939805,0.8430803571428571,0.8367710838937438,0.838993383832199
9,LinearSVC,0.9563840362997675,{'random_state': 42},"{'roc_auc': array([0.95014382, 0.96194785, 0.95904671, 0.95685683, 0.95965925,
       0.95559858, 0.95481673, 0.95310482, 0.95090426, 0.95783439]), 'balanced_accuracy': array([0.86990407, 0.89494149, 0.88805907, 0.89382573, 0.88449719,
       0.87652726, 0.88036603, 0.89154749, 0.87640229, 0.88877336]), 'average_precision': array([0.94614483, 0.96081627, 0.95590444, 0.95691005, 0.95915145,
       0.95431854, 0.95324958, 0.94928036, 0.94942691, 0.95290337]), 'recall': array([0.7957814 , 0.84084372, 0.83125599, 0.84947267, 0.81573896,
       0.80230326, 0.80998081, 0.84069098, 0.80038388, 0.83013436]), 'accuracy': array([0.875     , 0.89866071, 0.89196429, 0.896875  , 0.88928571,
       0.88169643, 0.88526786, 0.89508929, 0.88169643, 0.89285714]), 'f1_macro': array([0.87271694, 0.89728754, 0.8904425 , 0.89570751, 0.88737183,
       0.87949144, 0.88324283, 0.89373366, 0.87943171, 0.89127753]), 'f1_weighted': array([0.87388891, 0.89810402, 0.89133021, 0.89646613, 0.88839431,
       0.88062668, 0.88431369, 0.89456954, 0.88058251, 0.89219019])}",0.9559913243716671,0.8844843979244127,0.9538105793819696,0.8216586032833826,0.8888392857142857,0.8870703472171704,0.8880466202001518
