,Número de Features,Average Precision,Balanced Accuracy,ROC AUC
0,2,0.9487615722484642,0.9040687629526472,0.951198415933965
1,4,0.9505111332227589,0.9045056860945756,0.9530861970436002
2,6,0.957419987537989,0.9121084616700668,0.961083514599634
3,8,0.9601748270904773,0.913136683391017,0.9647027098511186
4,10,0.9606186314348403,0.9140819813575904,0.9657672172396096
5,12,0.9610159665432751,0.9141237970080466,0.9659636747261917
6,14,0.9621014864611412,0.9145053508750415,0.9661886414580216
7,16,0.962182156956551,0.9154217455345519,0.9664625153439186
8,18,0.9625386332180575,0.9148621745194573,0.9666147288631965
9,20,0.9624734214634314,0.915379268854619,0.966583228219901
